res/airport-time-windows/22/alpha_f_1.log,;;;; Solution Found,,56.10,1378,386,1378,274.92
res/airport-time-windows/22/alpha_f_10000.log,;;;; Solution Found,,60.79,1378,386,1378,277.462
res/airport-time-windows/22/alpha_ms_-1.log,;;;; Solution Found,,59.70,1378,386,1378,276.881
res/airport-time-windows/22/alpha_ms_-10000.log,;;;; Solution Found,,58.82,1378,386,1378,277.383
res/airport-time-windows/22/alpha_ms_0.1.log,;;;; Solution Found,,60.05,1378,386,1378,276.91
res/airport-time-windows/22/alpha_ms_0.log,;;;; Solution Found,,59.34,1378,386,1378,276.918
res/airport-time-windows/22/alpha_ms_1.log,;;;; Solution Found,,55.94,1378,386,1378,274.991
res/airport-time-windows/22/alpha_ms_10000.log,;;;; Solution Found,,60.04,1378,386,1378,276.507
res/airport-time-windows/22/h.log,;;;; Solution Found,,52.69,1081,291,1081,271.827
res/airport-time-windows/22/h_fs.log,;;;; Solution Found,,53.32,1081,291,1081,272.314
res/airport-time-windows/22/h_ms.log,;;;; Solution Found,,53.06,1081,291,1081,272.179
res/airport-time-windows/23/alpha_-1.log,,,,,,,0
res/airport-time-windows/23/alpha_-10000.log,,,,,,,0
res/airport-time-windows/23/alpha_0.1.log,,,,,,,0
res/airport-time-windows/23/alpha_0.log,,,,,,,0
res/airport-time-windows/23/alpha_1.log,,,,,,,0
res/airport-time-windows/23/alpha_10000.log,,,,,,,0
res/airport-time-windows/23/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/23/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/23/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/23/alpha_f_0.log,,,,,,,0
res/airport-time-windows/23/alpha_f_1.log,,,,,,,0
res/airport-time-windows/23/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/23/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/23/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/23/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/23/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/23/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/23/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/23/h.log,,,,,,,0
res/airport-time-windows/23/h_fs.log,,,,,,,0
res/airport-time-windows/23/h_ms.log,,,,,,,0
res/airport-time-windows/24/alpha_-1.log,,,,,,,0
res/airport-time-windows/24/alpha_-10000.log,,,,,,,0
res/airport-time-windows/24/alpha_0.1.log,,,,,,,0
res/airport-time-windows/24/alpha_0.log,,,,,,,0
res/airport-time-windows/24/alpha_1.log,,,,,,,0
res/airport-time-windows/24/alpha_10000.log,,,,,,,0
res/airport-time-windows/24/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/24/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/24/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/24/alpha_f_0.log,,,,,,,0
res/airport-time-windows/24/alpha_f_1.log,,,,,,,0
res/airport-time-windows/24/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/24/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/24/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/24/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/24/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/24/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/24/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/24/h.log,,,,,,,0
res/airport-time-windows/24/h_fs.log,,,,,,,0
res/airport-time-windows/24/h_ms.log,,,,,,,0
res/airport-time-windows/25/alpha_-1.log,,,,,,,0
res/airport-time-windows/25/alpha_-10000.log,,,,,,,0
